type,concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
candidat_proche,concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.89,passage_arist_da_3_3,Aristotle,De anima,3.3,grc,"Ἐπεὶ δὲ δύο διαφοραῖς ὁρίζονται μάλιστα τὴν ψυχήν, κινήσει τε τῇ κατὰ τόπον καὶ τῷ νοεῖν καὶ τῷ κρίνειν καὶ αἰσθάνεσθαι, δοκεῖ δὲ καὶ τὸ νοεῖν καὶ τὸ φρονεῖν ὥσπερ αἰσθάνεσθαί τι εἶναι· ἐν ἀμφοτέροις γὰρ τούτοις κρίνει τι ἡ ψυχὴ καὶ γνωρίζε"
candidat_proche,concept_ananke_necessity_democritus_h8i9j0k1,Ananke (Ἀνάγκη),discusses Ananke (Ἀνάγκη)?,0.89,passage_arist_phys_8_5,Aristotle,Physica,8.5,grc,"Τοῦτο δὲ διχῶς· ἢ γὰρ οὐ δʼ αὐτὸ τὸ κινοῦν, ἀλλὰ διʼ                               ἕτερον ὃ κινεῖ τὸ κινοῦν, ἢ διʼ αὐτό, καὶ τοῦτο ἢ πρῶτον                             μετὰ τὸ ἔσχατον ἢ διὰ πλειόνων, οἶον ἡ βακτηρία κινεῖ τὸν λίθον καὶ     "
candidat_proche,concept_mr1_autonomy_responsibility,MR1: Autonomy-based Moral Responsibility,discusses MR1: Autonomy-based Moral Responsibility?,0.89,passage_alex_fat_18,Alexander of Aphrodisias,De Fato,De Fato 18,grc,"ἀλλ’ ὅτι μὲν τὸ δόγμα τοῦτο ἀνατροπῆς αἴτιον παντὸς τοῦ τῶν ἀνθρώπων βίου, παντί που μαθεῖν ῥᾴδιον, ὅτι δὲ καὶ ψεῦδος, ἱκανὸν μαρτύριον τὸ μηδ’ αὐτοὺς τοὺς προστάτας αὐτοῦ δύνασθαι πείθεσθαι τοῖς ὑφ’ αὐτῶν λεγομένοις. οὕτω γὰρ ἐν πᾶσι τοῖς "
candidat_proche,concept_mr2_ability_responsibility,MR2: Ability-based Moral Responsibility,discusses MR2: Ability-based Moral Responsibility?,0.89,passage_alex_fat_32,Alexander of Aphrodisias,De Fato,De Fato 32,grc,"ἀλλὰ τῶν μὲν τοιούτων ἅλις (ἱκανὸν γὰρ ἐφ’ ἑκάστου τὸ ἐνδείξασθαι τὴν τῆς δόξης ἀτοπίαν), ἱκανῶς δ’ οἶμαι δεδηλῶσθαι, πῶς λέγεται τὸ ἐπὶ τῷ φρονίμῳ εἶναι τὸ φρονεῖν καίτοι μὴ δυναμένῳ μὴ φρονεῖν· οὐ γὰρ ὅτι νῦν, ὅτε ἐστὶ φρόνιμος, ἐπ’ αὐτῷ "
candidat_proche,concept_eph_hemin_two_sided_potestative,Two-sided Potestative ἐφ' ἡμῖν,discusses Two-sided Potestative ἐφ' ἡμῖν?,0.89,passage_alex_fat_5,Alexander of Aphrodisias,De Fato,De Fato 5,grc,"τούτων δ’ οὕτως ἐχόντων καὶ πάντων τῶν γινομένων εἰς τούτους τοὺς τρόπους νενεμημένων ἀκόλουθον ἐπὶ τούτοις ἰδεῖν, ἐν ποίῳ τῶν ποιητικῶν αἰτίων χρὴ τιθέναι τὴν εἱμαρμένην. ἆρά γε ἐν τοῖς οὐδενὸς γινομένοις χάριν; ἢ τοῦτο μὲν παντάπασιν ἄλογ"
candidat_proche,concept_mr2_ability_responsibility,MR2: Ability-based Moral Responsibility,discusses MR2: Ability-based Moral Responsibility?,0.89,passage_alex_fat_5,Alexander of Aphrodisias,De Fato,De Fato 5,grc,"τούτων δ’ οὕτως ἐχόντων καὶ πάντων τῶν γινομένων εἰς τούτους τοὺς τρόπους νενεμημένων ἀκόλουθον ἐπὶ τούτοις ἰδεῖν, ἐν ποίῳ τῶν ποιητικῶν αἰτίων χρὴ τιθέναι τὴν εἱμαρμένην. ἆρά γε ἐν τοῖς οὐδενὸς γινομένοις χάριν; ἢ τοῦτο μὲν παντάπασιν ἄλογ"
candidat_proche,concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.89,passage_aspasius_1,Aspasius,In Ethica Nicomachea Commentaria,In Ethica Nicomachea Commentaria 1,grc,"Ἡ περὶ τὰ ἤθη πραγματεία καὶ μάλιστα ἡ πολιτικὴ ἠθικὴ] κατὰ μὲν τὸ ἀναγκαῖον τῆς θεωρητικῆς φιλοσοφίας, κατὰ δὲ τὸ τίμιον ὑστέρα. ᾗ μὲν γὰρ ἀδύνατον καλῶς ζῆν μὴ σώφρονας ὄντας καὶ δικαίους καὶ ὅλως τὸ ἦθος κεκοσμημένους καὶ εἰς συμμετρίαν "
candidat_proche,concept_to_eph_hemin_nemesius,To eph' hemin (τὸ ἐφ᾽ ἡμῖν) — Nemesius,discusses To eph' hemin (τὸ ἐφ᾽ ἡμῖν) — Nemesius?,0.89,passage_alex_fat_39,Alexander of Aphrodisias,De Fato,De Fato 39,grc,"Ταῦτα ὑμῖν, ὦ θειότατοι αὐτοκράτορες. τῆς Ἀριστοτέλους δόξης περί τε εἱμαρμένης καὶ τοῦ ἐφ’ ἡμῖν κατ’ ἐμὴν δόξαν τὰ κεφάλαια, καθ’ ἣν δοξάζοντες εἴς τε θεοὺς εὐσεβήσομεν, τὰ μὲν εἰδότες αὐτοῖς χάριν ἀνθ’ ὧν φθάνομεν ὑπ’ αὐτῶν εὖ πεπονθότες,"
candidat_proche,concept_mr2_ability_responsibility,MR2: Ability-based Moral Responsibility,discusses MR2: Ability-based Moral Responsibility?,0.89,passage_alex_fat_33,Alexander of Aphrodisias,De Fato,De Fato 33,grc,"Τὸ δὲ λέγειν ἡγεῖσθαι τοὺς οὐχ ἡγουμένους ἐν τῷ σώζεσθαι τὴν καθ’ ὁρμὴν τῶν ζῴων ἐνέργειαν ἤδη σώζεσθαι καὶ τὸ ἐφ’ ἡμῖν τῷ πᾶν τὸ καθ’ ὁρμὴν γινόμενον ἐπὶ τοῖς ὁρμῶσιν εἶναι καὶ διὰ τοῦτο ἐρωτᾶν, εἰ μὴ ἐνέργημά τι τὸ ἐφ’ ἡμῖν ἐστι, καὶ λαβό"
candidat_proche,concept_two_sidedness_eph_hemin,Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness),discusses Bilatéralité du τὸ ἐφ' ἡμῖν (two-sidedness)?,0.89,passage_alex_fat_33,Alexander of Aphrodisias,De Fato,De Fato 33,grc,"Τὸ δὲ λέγειν ἡγεῖσθαι τοὺς οὐχ ἡγουμένους ἐν τῷ σώζεσθαι τὴν καθ’ ὁρμὴν τῶν ζῴων ἐνέργειαν ἤδη σώζεσθαι καὶ τὸ ἐφ’ ἡμῖν τῷ πᾶν τὸ καθ’ ὁρμὴν γινόμενον ἐπὶ τοῖς ὁρμῶσιν εἶναι καὶ διὰ τοῦτο ἐρωτᾶν, εἰ μὴ ἐνέργημά τι τὸ ἐφ’ ἡμῖν ἐστι, καὶ λαβό"
