node_id,type,name,existing_school,proposed_school,probability,confidence,anchor_sentence,desc_excerpt
person_diodore_tarsus_d390,person,Diodore de Tarse,Antiochene School,Christian (patristic),1,0.99,"461-479), Diodorus was the author of the most voluminous anti-fatalist treatise produced by Christian apologetics: Contra astronomos et astrologos et Heimarmenen, in 8 books and 53 chapters, now lost but summarized with extensive extracts by Photius (Bibliotheque cod.","Diodorus of Tarsus (died shortly before 394 CE), priest of Antioch, bishop of Tarsus from 378, principal promoter of the Antiochene exegetical school, teacher of John Chrysostom and Theodore of Mopsuestia. According to A"
person_heraclitus_fl500bce_a1b2c3d4,person,Heraclitus of Ephesus,Presocratic Philosophy,Presocratic,1,1,Presocratic philosopher from Ephesus (fl.,"Presocratic philosopher from Ephesus (fl. c. 500 BCE), known for the doctrine of universal flux (πάντα ῥεῖ), the unity of opposites, and the Logos as cosmic principle. Fragment B119 ""ἦθος ἀνθρώπῳ δαίμων"" (character is a "
person_ignatius_antioch_d110,person,Ignatius of Antioch,Apostolic Fathers,Christian (patristic),1,1,5–6 deploys θέλειν and γνώμη as the decisive vocabulary of Christian self-definition.,"Bishop of Antioch, martyred in Rome c. 108–117 CE under Trajan while under military escort from Syria (Ad Rom. 5.1: ἐνδεδεμένος δέκα λεοπάρδοις). The seven authentic letters of the middle recension are the earliest post-"
person_clement_rome_d99,person,Clement of Rome,Apostolic Fathers,Christian (patristic),1,0.99,"III.3.3) places him third after the apostles, while Tertullian (De Praescr.","Clement of Rome (fl. c. 96 CE; d. c. 99 CE) is traditionally identified as the third or fourth bishop of Rome — Irenaeus (Adv. Haer. III.3.3) places him third after the apostles, while Tertullian (De Praescr. 32) names h"
sc123_melito_peri_pascha,work,"Melito, Peri Pascha",Christian Apologetics,Christian (patristic),1,1,"The oldest surviving complete Christian Paschal homily, recovered from the Chester Beatty papyrus (Chester Beatty XII (Papyrus Beatty–Michigan), C.","Melito of Sardis (fl. c. 160–170 CE), Peri Pascha (Περὶ Πάσχα / Homilia de Pascha). The oldest surviving complete Christian Paschal homily, recovered from the Chester Beatty papyrus (Chester Beatty XII (Papyrus Beatty–Mi"
sc167_clemens_epistula_ad_corinthios,work,"Clemens Romanus, I Ad Corinthios",Apostolic Fathers,Christian (patristic),1,0.99,The earliest surviving non-canonical Christian document.,"Clement of Rome (fl. c. 96 CE), Epistula prima ad Corinthios. Letter sent from the Roman church to Corinth during a presbytery schism, c. 96 CE. The earliest surviving non-canonical Christian document.

Its relevance to "
sc379_athenagoras_legatio,work,"Athenagoras, Legatio pro Christianis",Christian Apologetics,Christian (patristic),1,0.99,"Athenagoras of Athens, *Legatio pro Christianis* (Πρεσβεία περὶ Χριστιανῶν), composed c.","Athenagoras of Athens, *Legatio pro Christianis* (Πρεσβεία περὶ Χριστιανῶν), composed c. 176-177 CE and addressed to the emperors Marcus Aurelius and Commodus. A philosophically sophisticated apology of Platonic culture:"
sc464_pamphilus_apologia_pro_origene,work,"Pamphilus, Apologia pro Origene",Christian Platonism,Christian (patristic),1,1,Defence of Origen's orthodoxy composed jointly by Pamphilus of Caesarea (c.,Defence of Origen's orthodoxy composed jointly by Pamphilus of Caesarea (c. 240–309 CE) and Eusebius of Caesarea. Books I–V were written by Pamphilus while imprisoned during the Diocletianic persecution; Book VI was adde
sc53bis_hermas_pastor,work,"Hermas, Pastor",Apostolic Fathers,Christian (patristic),1,0.99,cited approvingly by Origen and Irenaeus.,"Hermas, Pastor Hermae (Ποιμὴν τοῦ Ἑρμᾶ), c. 140–155 CE. Greek apocalyptic-paraenetic work composed in Rome, dated to the episcopate of Pius I by the Muratorian Fragment. Structured in Visions (Ὁράσεις), Mandates (Ἐντολαί"
sc10bis_ignatius_ad_ephesios,work,"Ignatius, Ad Ephesios",Apostolic Fathers,Christian (patristic),1,1,"One of seven authentic letters of the middle recension, addressed to the Christian community at Ephesus.","Ignatius of Antioch (c. 35–117 CE), Epistula ad Ephesios (Letter to the Ephesians), composed c. 110–117 CE while under escort to martyrdom in Rome. One of seven authentic letters of the middle recension, addressed to the"
