node_id,label,type,period,p_modern_scholar,conflict,description_excerpt
person_frankfurt_harry_1929_2023,Harry G. Frankfurt,person,Modern,0.18,described_as_ancient_but_period_modern,"Harry Gordon Frankfurt (1929-2023). Professeur émérite de philosophie à Princeton. Philosophe analytique de l'action, auteur des contributions les plus citées du débat contemporain sur la liberté et la responsabilité mor"
person_sartre_jean_paul_8h9i0j1k,Jean-Paul Sartre,person,Contemporary,0.18,described_as_ancient_but_period_modern,French existentialist philosopher who defended radical freedom. Famous slogan: 'existence precedes essence' and humans are 'condemned to be free'. Argued that human consciousness (being-for-itself) is fundamentally free 
person_haynes_john_dylan_2f3g4h5i,John-Dylan Haynes,person,Contemporary,0.19,described_as_ancient_but_period_modern,"German neuroscientist whose fMRI experiments (2008) extended Libet's findings. Using pattern classification of brain activity, claimed to predict subjects' decisions up to 7-10 seconds before conscious awareness. These f"
person_libet_benjamin_1e2f3g4h,Benjamin Libet,person,Contemporary,0.19,described_as_ancient_but_period_modern,American neuroscientist whose experiments (1980s) appeared to show that unconscious brain activity (readiness potential) precedes conscious intention to act by ~350-400ms. This suggests that conscious will does not initi
scholar_haggard_p,Patrick Haggard,person,Modern,0.2,described_as_ancient_but_period_modern,British cognitive neuroscientist. Professor at UCL Institute of Cognitive Neuroscience. PhD 1991. His research investigates the brain activity that precedes voluntary actions and its relation to conscious experience of i
person_austin_john_langshaw_1k2l3m4n,J.L. Austin,person,Contemporary,0.21,described_as_ancient_but_period_modern,"British philosopher famous for ordinary language analysis. In 'Ifs and Cans' (1956), challenged compatibilist accounts of 'could have done otherwise' by analyzing ordinary language use. Argued that philosophers often mis"
person_mill_john_stuart_2b3c4d5e,John Stuart Mill,person,Modern,0.21,described_as_ancient_but_period_modern,"British philosopher who defended soft determinism (compatibilism). Argued that freedom consists in acting according to one's desires and character, not in some mysterious contra-causal power. Emphasized that even though "
person_strawson_peter_frederick_2l3m4n5o,P.F. Strawson,person,Contemporary,0.21,described_as_ancient_but_period_modern,"British philosopher who revolutionized free will debate with 'Freedom and Resentment' (1962). Argued that debates about determinism and free will are beside the point because our reactive attitudes (gratitude, resentment"
person_davidson_donald_3m4n5o6p,Donald Davidson,person,Contemporary,0.22,described_as_ancient_but_period_modern,"American philosopher who developed influential account of action explanation. Argued that reasons are causes, but mental causation is not strict causal determination. Defended anomalous monism: mental events are identica"
person_mele_alfred_3g4h5i6j,Alfred Mele,person,Contemporary,0.23,described_as_ancient_but_period_modern,Contemporary philosopher specializing in action theory and neuroscience of free will. Defends the reality of free will against neuroscientific challenges (remaining officially agnostic between compatibilism and libertari
person_oshana_marina_7k8l9m0n,Marina Oshana,person,Contemporary,0.23,described_as_ancient_but_period_modern,Feminist philosopher who developed social externalist account of autonomy. Argues that autonomy and free will are not purely internal psychological states but depend on social conditions. Oppressive social environments c
person_mackenzie_catriona_9m0n1o2p,Catriona Mackenzie,person,Contemporary,0.24,described_as_ancient_but_period_modern,"Australian feminist philosopher who developed influential relational autonomy framework. Argues that autonomy must be understood relationally - as constituted by and exercised within social relationships. Oppression, tra"
person_ekstrom_laura_1u2v3w4x,Laura Waddell Ekstrom,person,Contemporary,0.25,described_as_ancient_but_period_modern,Contemporary philosopher who developed preference libertarianism. Argues that free will requires that agents' preferences are formed through indeterministic processes of critical reflection. Combines insights from Frankf
person_oconnor_timothy_8r9s0t1u,Timothy O'Connor,person,Contemporary,0.25,described_as_ancient_but_period_modern,Contemporary philosopher defending agent-causal libertarianism. Argues that agents have irreducible causal powers to initiate actions. Developed sophisticated account of how agent causation can be integrated with scienti
person_westlund_andrea_8l9m0n1o,Andrea Westlund,person,Contemporary,0.26,described_as_ancient_but_period_modern,Feminist philosopher who developed dialogical account of autonomy. Argues that autonomy requires being answerable to others - holding oneself accountable in ways responsive to others' questions and challenges. This socia
person_wallace_r_jay_5y6z7a8b,R. Jay Wallace,person,Contemporary,0.26,described_as_ancient_but_period_modern,"Contemporary compatibilist philosopher who developed normative competence account. Argues that moral responsibility requires capacity to grasp and be moved by moral reasons (normative competence), not libertarian free wi"
person_ginet_carl_0t1u2v3w,Carl Ginet,person,Contemporary,0.27,described_as_ancient_but_period_modern,American philosopher who defended simple indeterminist libertarianism. Argued that free actions are uncaused mental events (volitions) that are introspectively identifiable. Free will does not require agent OR event caus
scholar_vibe_k,Klaus Vibe,person,Modern,0.27,described_as_ancient_but_period_modern,"Philo of Alexandria, ancient philosophy, free will and determinism"
person_knobe_joshua_5i6j7k8l,Joshua Knobe,person,Contemporary,0.28,described_as_ancient_but_period_modern,"American experimental philosopher famous for discovering the Knobe Effect: people's attributions of intentionality are influenced by moral judgments. Side effects that are morally bad are judged intentional, while morall"
person_mckenna_michael_4x5y6z7a,Michael McKenna,person,Contemporary,0.28,described_as_ancient_but_period_modern,Contemporary compatibilist philosopher who developed conversational theory of moral responsibility. Argues that holding responsible is like engaging in a conversation where reactive attitudes communicate moral expectatio
person_vihvelin_kadri_6z7a8b9c,Kadri Vihvelin,person,Contemporary,0.28,described_as_ancient_but_period_modern,Contemporary compatibilist philosopher who defended dispositionalist account of abilities. Argues that 'can' and 'ability' should be understood as dispositions (like fragility). Having ability to do otherwise is compatib
person_bergson_henri_5e6f7g8h,Henri Bergson,person,Modern,0.3,described_as_ancient_but_period_modern,"French philosopher who argued that free will is experienced in duration (duree) as opposed to spatialized, mechanistic time. Claimed that determinism falsifies human experience by treating temporal flow as a succession o"
person_nahmias_eddy_4h5i6j7k,Eddy Nahmias,person,Contemporary,0.3,described_as_ancient_but_period_modern,Contemporary experimental philosopher who studies folk intuitions about free will and moral responsibility. His experiments suggest that ordinary people are natural compatibilists who don't think determinism undermines r
