flag,probability,passage_id,auteur,oeuvre,ref,langue,extrait
"text mixed with critical apparatus, line numbers or editorial notes",0.96,passage_arist_mm_1_6_2,Aristotle,Magna Moralia,1.6.2,grc,"ἔστιν οὖν ἡ ἀρετὴ περὶ ἡδονὰς καὶ λύπας. Ἡ δ' ἠθικὴ ἀρετὴ ἐντεῦθεν τὰς ἐπωνυμίας ἔχει, εἰ δεῖ παρὰ γράμμα λέγοντα τὴν ἀλήθειαν ὡς ἔχει σκοπεῖν [ δεῖ δ' ἴσως] . τὸ γὰρ ἦθος ἀπὸ τοῦ ἔθους ἔχει τὴν ἐπωνυμίαν·"
"text mixed with critical apparatus, line numbers or editorial notes",0.95,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
text with OCR noise or broken words,0.94,passage_aspasius_1,Aspasius,In Ethica Nicomachea Commentaria,In Ethica Nicomachea Commentaria 1,grc,"Ἡ περὶ τὰ ἤθη πραγματεία καὶ μάλιστα ἡ πολιτικὴ ἠθικὴ] κατὰ μὲν τὸ ἀναγκαῖον τῆς θεωρητικῆς φιλοσοφίας, κατὰ δὲ τὸ τίμιον ὑστέρα. ᾗ μὲν γὰρ ἀδύνατον καλῶς ζῆν μὴ σώφρονας ὄντας καὶ δικαίους καὶ ὅλως τὸ ἦθος κεκοσμημένους καὶ εἰς συμμετρίαν "
"text mixed with critical apparatus, line numbers or editorial notes",0.93,passage_just_tryph_27_3,Justin Martyr,Dialogus cum Tryphone,27.3,grc,"Καὶ γὰρ αἰ θυγατέρες Σιὼν ἐπορεύθησαν ἐν ὑψηλῷ τραχήλῳ, καὶ ἐν νεύμασιν ὀφθαλμῶν ἄμα παίζουσαι καὶ σύρουσαι τοὺς χιτῶνας [cf. Is., III, 16]. Καὶ πάντες γὰρ ἐξέκλιναν, βοᾷ, πάντες ἅμα ἠχρειώθησαν· οὐκ ἔστιν ὁ συνίων, οὐκ ἔστιν ἕως ἑνός. Ταῖς"
text with OCR noise or broken words,0.85,passage_alex_fat_11,Alexander of Aphrodisias,De Fato,De Fato 11,grc,"Ἀκολουθεῖ δὲ τῷ πάντα τὰ γινόμενα προκαταβεβλημέναις καὶ ὡρισμέναις καὶ προυπαρχούσαις τισὶν αἰτίαις ἔσεσθαι τὸ καὶ βουλεύεσθαι τοὺς ἀνθρώπους μάτην περὶ τῶν πρακτέων αὐτοῖς. εἰ δὲ τὸ βουλεύεσθαι μάτην, μάτην ἂν ἄνθρωπος εἴη βουλευτικός. κα"
mostly modern-language text,0.83,passage_arist_en_3_12,Aristotle,Ethica Nicomachea,"Arist. EN III.12, 1119a21-1119b18",grc,"ARISTOTLE ON VOLUNTARINESS OF INTEMPERANCE VS COWARDICE  This chapter returns to the theme of voluntariness, arguing that intemperance is MORE voluntary than cowardice, which has implications for moral responsibility.  Greek: ἑκουσίῳ δὲ μᾶλ"
mostly modern-language text,0.83,passage_arist_en_3_3,Aristotle,Ethica Nicomachea,"Arist. EN III.3, 1112a18-1113a14",grc,ARISTOTLE ON DELIBERATION AND THE SCOPE OF HUMAN AGENCY  This chapter defines the domain of deliberation and thereby the scope of τὸ ἐφʼ ἡμῖν (what is up to us) - the crucial concept for all subsequent free will debates.  Greek: βουλεύονται
text with OCR noise or broken words,0.83,passage_boethius_cons_28,Boethius,De Consolatione Philosophiae,Cons. 28,lat,"Adeo nihil est miserum, nisi cum putes, contraque beata sors omnis est aequanimitate tolerantis. Quis est ille tam felix, qui cum dederit impatientiae \ ' manus, statum suum mutare non optet? Quam manus, amaritudinibus humanae felicitatis d"
"text mixed with critical apparatus, line numbers or editorial notes",0.82,passage_arist_mm_2_6_21,Aristotle,Magna Moralia,2.6.21,grc,"οὐ δὴ τὰς τοιαύτας ζητοῦμεν νῦν ἀκρασίας οὐδ' ἐγκρατείας, ἀλλὰ καθ' ἃς ψεκτοὶ ἁπλῶς καὶ ἐπαινετοὶ λεγόμεθα. Ἔστιν δὲ τῶν ἀγαθῶν τὰ μὲν ἐκτός, οἷον πλοῦτος ἀρχὴ τιμὴ φίλοι δόξα, τὰ δ' ἀναγκαῖα καὶ περὶ σῶμα ἐστίν, οἷον ἁφή τε καὶ γεῦσις [ ὁ "
text with OCR noise or broken words,0.79,passage_arist_ne_10_3,Aristotle,Ἠθικὰ Νικομάχεια,10.3,grc,"οὐ μὴν οὐδʼ εἰ μὴ τῶν ποιοτήτων ἐστὶν ἡ ἡδονή, διὰ τοῦτʼ οὐδὲ τῶν ἀγαθῶν· οὐδὲ γὰρ αἱ τῆς ἀρετῆς ἐνέργειαι ποιότητές εἰσιν, οὐδʼ ἡ εὐδαιμονία. λέγουσι δὲ τὸ μὲν ἀγαθὸν ὡρίσθαι, τὴν δʼ ἡδονὴν ἀόριστον εἶναι, ὅτι δέχεται τὸ μᾶλλον καὶ τὸ ἧττο"
"text mixed with critical apparatus, line numbers or editorial notes",0.74,passage_arist_met_1_4,Aristotle,τὰ Μετὰ τὰ Φυσικά,1.4,grc,"ὑποπτεύσειε δʼ ἄν τις Ἡσίοδον πρῶτον ζητῆσαι τὸ τοιοῦτον, κἂν εἴ τις ἄλλος ἔρωτα ἢ ἐπιθυμίαν ἐν τοῖς οὖσιν ἔθηκεν ὡς ἀρχήν, οἷον καὶ Παρμενίδης· καὶ γὰρ οὗτος κατασκευάζων τὴν τοῦ παντὸς γένεσιν  πρώτιστον μέν (φησιν) ἔρωτα θεῶν μητίσατο πά"
"text mixed with critical apparatus, line numbers or editorial notes",0.73,passage_aug_gla_1_4,Augustine,De Libero Arbitrio,Grat. 1.4,lat,"In defensione liberi arbitrii gratiae Dei locus relinquatur. 4. 6. Sed metuendum est ne ista omnia divina testimonia, et quaecumque alia sunt, quae sine dubitatione sunt plurima, in defensione liberi arbitrii, sic intellegantur, ut ad vitam"
mostly modern-language text,0.72,passage_arist_en_3_2,Aristotle,Ethica Nicomachea,"Arist. EN III.2, 1111b4-1112a17",grc,"ARISTOTLE'S ANALYSIS OF PROHAIRESIS (DELIBERATE CHOICE)  Having defined voluntary action, Aristotle now analyzes προαίρεσις - the distinctively human capacity for rational choice that is most closely connected to virtue and character.  Gree"
"text mixed with critical apparatus, line numbers or editorial notes",0.72,passage_arist_mm_2_7_26,Aristotle,Magna Moralia,2.7.26,grc,"Ἄλλος ἦν λόγος ὅτι οὐδεμία ποιεῖ ἐπιστήμη ἡδονήν. ἔστιν δὲ οὐδὲ τοῦτο ἀληθές. οἱ γὰρ δειπνοποιοὶ καὶ στεφανοποιοὶ καὶ [οἱ] μυρεψοὶ ἡδονῆς εἰσιν ποιητικοί. [ ἀλλὰ δὴ ταῖς ἄλλαις ἐπιστήμαις οὐκ ἔστιν ἡ ἡδονὴ ὡς τέλος, ἀλλὰ μεθ' ἡδονῆς τε καὶ "
text with OCR noise or broken words,0.72,passage_boethius_cons_17,Boethius,De Consolatione Philosophiae,Cons. 17,lat,"Sed dic mihi, quoniam deo mundum regi non ambigis, quibus etiam gubernaculis regatur, advertis? — Vix, inquam, rogationis tuae sententiam nosco, nedum ad inquisita j respondere queam. — Num me, inquit, fefellit abesse aliquid, per quod velu"
"text mixed with critical apparatus, line numbers or editorial notes",0.72,passage_arist_mm_2_3_13,Aristotle,Magna Moralia,2.3.13,grc,"οὐδ' ἐναντιώσεται ἀρετὴ ἀρετῇ. πέφυκεν γὰρ ὑπείκειν τῷ λόγῳ, [ἢ] ὡς οὗτος προστάττει, ὥστ' ἐφ' ὃ ἂν οὗτος ἄγῃ, ἐπὶ τοῦτο ἀποκλίνει. τὸ γὰρ βέλτιον οὗτός ἐστιν ὁ αἱρούμενος. οὔτε γὰρ ἄνευ τῆς φρονήσεως αἱ ἄλλαι ἀρεταὶ γίνονται, οὔθ' ἡ φρόνησ"
