pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
scholarly_argument_eliasson_middle_platonist_notions_of_4__scholarly_argument_koch_middle_platonic_conditional_fa_5,argument,scholarly_argument_eliasson_middle_platonist_notions_of_4,Eliasson: Middle Platonists developed a standard notion of ἐφ' ἡμῖν that drew on Platonic ,scholarly_argument_koch_middle_platonic_conditional_fa_5,Koch: Middle Platonists developed a theory of conditional fate (destin conditionnel) f,0.29,0.16,<=0.3,scholarly_argument_eliasson_middle_platonist_notions_of_4,description_token_overlap;label_token_overlap,"Eliasson discerns a standard Middle-Platonist notion of eph' hemin, found in Alcinous, Ps.-Plutarch, Nemesius, Calcidius, Apuleius (with reservations) and Maximus of Tyre: all things are included in f","Koch (p. 35): the Platonists 'ont actualisé leur platonisme' by rereading founding texts to develop 'la théorie originale du destin conditionnel', found in Alcinous Did. 26, Calcidius In Tim. 142-144,"
scholarly_argument_linjamaa_cosmos_as_school_and_community_4__scholarly_argument_linjamaa_free_will_and_moral_accountabi_1,argument,scholarly_argument_linjamaa_cosmos_as_school_and_community_4,Linjamaa: The Tripartite Tractate presents the cosmos as a 'school' (scholē) that imperfec,scholarly_argument_linjamaa_free_will_and_moral_accountabi_1,Linjamaa: The Tripartite Tractate employs concepts of will (Greek: thelēma/boulē) and self,0.29,0.14,<=0.3,scholarly_argument_linjamaa_free_will_and_moral_accountabi_1,description_token_overlap;label_token_overlap,Linjamaa: the Aeons' 'school of conduct' in the Pleroma and the cosmos as a place of learning show that both heavenly and earthly life follow a pedagogical structure. The social context reflected in T,"Linjamaa (§3.6): TriTrac's ethical theory, unlike many early Christian systems, 'did not rest on the doctrine of free will'. As long as passion and false impressions rooted in matter are viable there "
scholarly_argument_byerly_compatibilism_and_the_value_of_1__scholarly_argument_byerly_theological_determinism_and_fr_0,argument,scholarly_argument_byerly_compatibilism_and_the_value_of_1,Byerly: The theological determinist can affirm that causally determined free actions pro,scholarly_argument_byerly_theological_determinism_and_fr_0,Byerly: Theological determinists (who affirm compatibilism—that free actions can be caus,0.29,0.2,<=0.3,scholarly_argument_byerly_theological_determinism_and_fr_0,description_token_overlap;label_token_overlap,compatibilism and the value of free action — The theological determinist can affirm that causally determined free actions productive of virtue are genuinely free and may even exhibit the most valuable,theological determinism and free will theodicy — Theological determinists (who affirm compatibilism—that free actions can be causally determined) can adapt the central argumentative strategies of Plan
scholarly_argument_brand_genre_determines_free_will_view__scholarly_argument_brand_hodayot_predestination_physicality,argument,scholarly_argument_brand_genre_determines_free_will_view,"Brand: a Second Temple text's view of free will correlates with its genre, not a single 'Qumran theology'",scholarly_argument_brand_hodayot_predestination_physicality,Brand: the Hodayot bind innate sinfulness to human physicality within a predestinarian system,0.29,0.18,<=0.3,scholarly_argument_brand_genre_determines_free_will_view,description_token_overlap;label_token_overlap,"Brand's organizing thesis. Against the trend to harmonize a single deterministic 'Qumran theology' of sin, she shows that Second Temple texts (including those at Qumran) display unremarked variability","Reading 1QHa VII.25b–27a ('in your hand is the inclination of every spirit … you determined before you created it') and VII.27–30 (predestination of wicked and righteous 'from the womb'), Brand argues"
synthesis_amand1945_epilogue_cultural__synthesis_amand1945_epilogue_theological,synthesis,synthesis_amand1945_epilogue_cultural,Bilan culturel de l'épilogue Amand 1945 — homogénéité de la civilisation gréco-romaine et chrétienne,synthesis_amand1945_epilogue_theological,Theological Assessment of Amand 1945’s Epilogue — The Transmission of a Philosophical Argument in Greek Christian Theology,0.29,0.25,<=0.3,synthesis_amand1945_epilogue_theological,description_token_overlap;label_token_overlap,"Fourth strand of Amand's epilogical assessment (Amand 1945, p. 590-591). Central cultural claim: « The historian of ancient culture will find factual confirmation of a theory dear to him: namely, the ","Third point of Amand's epilogical assessment (Amand 1945, p. 590). Central theological claim: ""The theologian, or rather the historian of theology, will examine, in a privileged case, the persistence "
scholarly_argument_sytsma_permanent_apokatastasis__scholarly_argument_sytsma_preselection_prearrangement_thesis,argument,scholarly_argument_sytsma_permanent_apokatastasis,Sytsma: Origen DID hold a final and permanent restoration of all rational souls (apokatastasis),scholarly_argument_sytsma_preselection_prearrangement_thesis,Sytsma: God preselects and prearranges into history only the set of free choices that infallibly leads to the apokatastasis (the reconciliation),0.29,0.17,<=0.3,scholarly_argument_sytsma_preselection_prearrangement_thesis,description_token_overlap;label_token_overlap,"Against scholars who deny Origen's universalism or read it as merely hypothetical/hopeful, Sytsma argues that despite Origen's deliberately guarded and sometimes conflicting statements (concealed for ","Sytsma's core synthetic claim: armed with counterfactual foreknowledge, God 'manufactures' the external circumstances under which each soul will freely respond as God intends, and in pre-planning salv"
scholarly_argument_gibbons_assent_and_character_ground_embodied_autonomy__scholarly_argument_gibbons_bootstrapping_problem_for_superlative_vice,argument,scholarly_argument_gibbons_assent_and_character_ground_embodied_autonomy,Gibbons: assent and character ground Origenian autonomy without alternative possibilities,scholarly_argument_gibbons_bootstrapping_problem_for_superlative_vice,Gibbons: superlative vice creates a bootstrapping problem for character as the cause of its own revision,0.29,0.15,<=0.3,scholarly_argument_gibbons_assent_and_character_ground_embodied_autonomy,description_token_overlap;label_token_overlap,Gibbons argues that Origen's account of embodied autonomy is substantially Stoic: rational beings are authors of their actions because proairesis can assent or dissent to the propositional content of ,"Gibbons formulates a bootstrapping problem for Origen's account of the superlatively vicious. Ordinary self-improvement can be causally scaffolded by an existing virtue or quasi-virtue, such as concer"
scholarly_argument_jewett_divine_sovereignty_and_human_e_0__scholarly_argument_jewett_faith_versus_works_in_obtainin_1,argument,scholarly_argument_jewett_divine_sovereignty_and_human_e_0,Jewett: Divine mercy is sovereign; the achievement of righteousness cannot result entire,scholarly_argument_jewett_faith_versus_works_in_obtainin_1,Jewett: Righteousness comes through faith in Christ rather than through human achievemen,0.29,0.26,<=0.3,scholarly_argument_jewett_divine_sovereignty_and_human_e_0,description_token_overlap;label_token_overlap,divine sovereignty and human effort in righteousness — Divine mercy is sovereign; the achievement of righteousness cannot result entirely from human effort. God's selection of a remnant as 'vessels of,faith versus works in obtaining righteousness — Righteousness comes through faith in Christ rather than through human achievement or works of the law. The Gentiles obtained righteousness 'through fait
synthesis_dihle1982_lec5_late_antiquity_plotinus_no_will__synthesis_frede2011_ch8_plotinus,synthesis,synthesis_dihle1982_lec5_late_antiquity_plotinus_no_will,Dihle 1982 Lect. V — Antiquite tardive : Plotin et neoplatoniciens restent intellectualistes,synthesis_frede2011_ch8_plotinus,Ch. 8 — Plotin et la liberté divine archétype (Frede 2011),0.29,0.12,<=0.3,synthesis_dihle1982_lec5_late_antiquity_plotinus_no_will,description_token_overlap;label_token_overlap,Synthesis of the fifth lecture (Dihle 1982 p. 101-122 / md ll. 8892-9890). Dihle shows that the transition to late antiquity did not spontaneously produce the concept of the will on the Greek side: Pl,"Summary of Frede 2011 ch. 8 (p. 125-152): Plotinus, in Ennead VI.8 'On Voluntariness and the Will of the One', offers the most complete Platonic reception of the Stoic notion. The central innovation i"
argument_gregory_contrafatum_demonic_origin_amand1945__argument_gregory_image_dei_autexousion,argument,argument_gregory_contrafatum_demonic_origin_amand1945,Gregory of Nyssa CF — argument théologique de l'origine démonique de l'astrologie,argument_gregory_image_dei_autexousion,Gregory of Nyssa: Image-of-God Argument for Autexousion (De Hom. Opif. 16; Cat. Or.),0.29,0.16,<=0.3,argument_gregory_contrafatum_demonic_origin_amand1945,description_token_overlap;label_token_overlap,"Theological argument inserted by Gregory in the Contre le Destin (PG 45, 169 D — 172 C + 173 B), to be distinguished from the Carneadean philosophical arguments. The devil and the demons, out of hatre","Gregory of Nyssa's foundational anthropological argument that human αὐτεξούσιον (self-determination) is the constitutive feature of the imago Dei, articulated in De Hominis Opificio chapters 16 and 24"
