node_id,type,name,existing_school,proposed_school,probability,confidence,anchor_sentence,desc_excerpt
argument_human_will_lacks_efficacy_45522d03,argument,Human Will Lacks Efficacy,,Modern scholarship,0.19,0.14,no textual anchor,"Malebranche's radical occasionalism denies that the human will has any genuine causal efficacy. The will cannot cause bodily movements, mental states, or even its own volitions. Only God has true causal power. This creat"
argument_cafma_character_contradiction_1f6g8i54,argument,"Anti-astrological argument: moral character changes, the natal horoscope cannot fix it",,Cannot be determined from the description,0.24,0.19,no textual anchor,"Human beings successively pass from opposites—from good to bad character, from virtue to vice. If character were fatally fixed at birth (as astrology claims via natal horoscope), such change would be impossible."
person_ralph_cudworth_77de5c65,person,Ralph Cudworth,,Modern scholarship,0.25,0.19,no textual anchor,"Ralph Cudworth (1617-1688) was an English philosopher and theologian, a leading member of the Cambridge Platonists, who defended libertarian free will and immaterial souls against Hobbesian materialism and determinism. H"
argument_anti_astrology_collective_catastrophes_5j0k2m98,argument,Anti-Astrological Argument III: Collective Catastrophes (Identity of Death),,No school affiliation / not a school-bound figure,0.26,0.21,no textual anchor,"People of all ages and origins, born under vastly different planetary configurations, often perish simultaneously in collective catastrophes: shipwrecks, battles, earthquakes, plagues. This proves the falsity of astrolog"
person_peter_abelard_w9x0y1z2,person,Peter Abelard,,Christian (patristic),0.26,0.21,no textual anchor,"Pioneering scholastic philosopher known for Sic et Non method. Developed sophisticated analysis of intention in moral evaluation. Argued moral worth depends on intention (intentio), not external act or consequences. Addr"
argument_frankfurt_cases_1o2p3q4r,argument,Frankfurt Cases,,Modern scholarship,0.27,0.21,no textual anchor,Frankfurt's 1969 article presents cases in which an agent is morally responsible even though a counterfactual intervener ensures that no alternative outcome was available. These cases are designed to challenge the Princi
person_baruch_spinoza_8p2k3l91,person,Baruch Spinoza,,Jewish,0.27,0.22,"Baruch Spinoza (1632–1677), Dutch-Jewish philosopher excommunicated from the Amsterdam Sephardic community in 1656, developed one of the most systematically rigorous rejections of free will in the Western philosophical tradition.","Baruch Spinoza (1632–1677), Dutch-Jewish philosopher excommunicated from the Amsterdam Sephardic community in 1656, developed one of the most systematically rigorous rejections of free will in the Western philosophical t"
person_libet_benjamin_1e2f3g4h,person,Benjamin Libet,,Presocratic,0.27,0.21,no textual anchor,American neuroscientist whose experiments (1980s) appeared to show that unconscious brain activity (readiness potential) precedes conscious intention to act by ~350-400ms. This suggests that conscious will does not initi
person_christian_wolff_1s5n6o24,person,Christian Wolff,,Stoic,0.27,0.21,no textual anchor,German philosopher who systematized and popularized Leibnizian philosophy. Developed compatibilist position based on Principle of Sufficient Reason. Defended determinism while arguing for moral responsibility through spo
work_tahafut_al_falasifa_al_ghazali_y9z0a1b2,work,The Incoherence of the Philosophers (Tahafut al-Falasifa),,Jewish,0.27,0.21,no textual anchor,"Al-Ghazali's refutation of Aristotelian philosophy, particularly Avicenna's necessitarian metaphysics. Twenty problems raised against philosophers. Most famous: discussion 17 denying natural causation and causal necessit"
person_samuel_clarke_6x0s1t79,person,Samuel Clarke,,No school affiliation / not a school-bound figure,0.27,0.21,no textual anchor,English philosopher and Anglican clergyman. Defended libertarian free will as necessary for moral responsibility and divine justice. Argued against Leibnizian sufficient reason and Hobbesian necessity. Maintained agent c
person_oshana_marina_7k8l9m0n,person,Marina Oshana,,Christian (patristic),0.27999999999999997,0.24,no textual anchor,Feminist philosopher who developed social externalist account of autonomy. Argues that autonomy and free will are not purely internal psychological states but depend on social conditions. Oppressive social environments c
person_james_william_4d5e6f7g,person,William James,,Modern scholarship,0.28,0.23,no textual anchor,American philosopher and psychologist who defended libertarian free will on pragmatic grounds. Argued that belief in free will is rationally justified because it makes a practical difference to how we live. Famous for hi
person_mackenzie_catriona_9m0n1o2p,person,Catriona Mackenzie,,Modern scholarship,0.28,0.22,no textual anchor,"Australian feminist philosopher who developed influential relational autonomy framework. Argues that autonomy must be understood relationally - as constituted by and exercised within social relationships. Oppression, tra"
argument_edwardsian_compatibilism_5a9v0w68,argument,Edwards's Compatibilist Defense of Reformed Theology,,Modern scholarship,0.3,0.24,no textual anchor,"Jonathan Edwards's sophisticated compatibilist argument defending Calvinist theology. The will always follows the strongest motive/inclination necessarily, yet this is compatible with moral responsibility. Liberty of ind"
argument_firmicus_witness3_religion_useless_amand1945,argument,"Témoin n°3 (Firmicus Math I, 2, 8-9) — Deuxième argument : mépris des dieux et inutilité des rites",,Christian (patristic),0.3,0.24,no textual anchor,"Second anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 8-9 (Kroll-Skutsch I p. 8) by Amand 1945 (analysis p. 186, Latin text p. 187). Logical conclusion of astrological fatalism: contempt for the go"
person_nahmias_eddy_4h5i6j7k,person,Eddy Nahmias,,Modern scholarship,0.3,0.24,no textual anchor,Contemporary experimental philosopher who studies folk intuitions about free will and moral responsibility. His experiments suggest that ordinary people are natural compatibilists who don't think determinism undermines r
person_luis_de_molina_3k7f8g46,person,Luis de Molina,,Christian (patristic),0.31,0.25,no textual anchor,Spanish Jesuit theologian who developed the doctrine of middle knowledge (scientia media) to reconcile divine sovereignty with human free will. Argued God knows what every possible free creature would freely choose in an
person_galen_pergamon_129_216ce,person,Galen of Pergamon,Various,Middle Platonist,0.31,0.26,no textual anchor,"Physician and philosopher (129-c.216 CE). Eclectic thinker drawing on Plato, Aristotle, and Hippocrates. De Placitis Hippocratis et Platonis is his major philosophical work on the soul and its faculties, relevant to deba"
argument_anti_astrology_nomima_barbarika_6k1l3n09,argument,Anti-Astrological Argument IV: Diversity of Customs (Nomima Barbarika),,Pyrrhonist/Sceptic,0.33,0.27,no textual anchor,"The remarkable diversity of laws, customs, and cultural practices (nomima barbarika) among different peoples (Italians, Greeks, Scythians, Syrians, etc.) contradicts the claim of uniform astral influence. If stars determ"
scholarly_argument_ramelli_anti_determinism_and_free_will_1,argument,Ramelli: Both Alexander and Origen refuted Stoic determinism using very similar arguments,,Modern scholarship,0.33,0.27,no textual anchor,"Anti-determinism and free will — Both Alexander and Origen refuted Stoic determinism using very similar arguments, particularly emphasizing praise/blame and the efficacy of petitionary prayer; Alexander deemed Stoic comp"
person_oconnor_timothy_8r9s0t1u,person,Timothy O'Connor,,Middle Platonist,0.33,0.27,no textual anchor,Contemporary philosopher defending agent-causal libertarianism. Argues that agents have irreducible causal powers to initiate actions. Developed sophisticated account of how agent causation can be integrated with scienti
work_galen_de_placitis,work,"Galen, De Placitis Hippocratis et Platonis",,Cannot be determined from the description,0.33,0.28,no textual anchor,"Galen, De Placitis Hippocratis et Platonis (grc, Imperial)"
work_firmicus_mathesis,work,"Iulius Firmicus Maternus, Mathesis (8 livres)",,No school affiliation / not a school-bound figure,0.33,0.28,no textual anchor,"Latin astrological summa in 8 books composed by Iulius Firmicus Maternus, a Roman senator, under the reign of Constantine (c. 334–337). According to Amand 1945 (Book I ch. VII, p. 178-188), it is ""this imposing treatise "
argument_anti_astrology_twins_4i9j1l87,argument,Anti-Astrological Argument II: The Twins Argument,,Pyrrhonist/Sceptic,0.34,0.29,no textual anchor,"Individuals born at the same moment under identical astrological configurations have manifestly different destinies. Examples include multiple people named Homer or Socrates, or actual twins with divergent life paths. Th"
argument_greg_naz_carmen_dogm_5_carneadean,argument,Gregory of Nazianzus Carm. dogm. 5: Carneadean echo in dactylic hexameters,,Stoic,0.34,0.29,no textual anchor,"Carneades’ argument condensed into dactylic hexameters by Gregory of Nazianzus (Carm. dogm. 5 Περὶ προνοίας, verses 44-52, PG 37.427A-428A): 'Such is my doctrine: it is founded not upon the movement of the stars, but upo"
person_knobe_joshua_5i6j7k8l,person,Joshua Knobe,,Modern scholarship,0.34,0.28,no textual anchor,"American experimental philosopher famous for discovering the Knobe Effect: people's attributions of intentionality are influenced by moral judgments. Side effects that are morally bad are judged intentional, while morall"
person_camus_albert_9i0j1k2l,person,Albert Camus,,Middle Platonist,0.34,0.28,no textual anchor,"French-Algerian philosopher who explored themes of absurdity and freedom. While skeptical of systematic philosophy, emphasized human freedom to create meaning in an absurd universe. Famous for image of Sisyphus choosing "
work_calcidius_in_timaeum,work,"Calcidius, Commentarius in Platonis Timaeum",,Academic/Platonist,0.34,0.28,"Calcidius (Chalcidius), Commentarius in Platonis Timaeum, a Late Antique Latin translation-commentary conventionally dated to the fourth century, although the author's precise date, religious affiliation and philosophical classification remain disputed.","Calcidius (Chalcidius), Commentarius in Platonis Timaeum, a Late Antique Latin translation-commentary conventionally dated to the fourth century, although the author's precise date, religious affiliation and philosophica"
person_sartre_jean_paul_8h9i0j1k,person,Jean-Paul Sartre,,Modern scholarship,0.34,0.29,no textual anchor,French existentialist philosopher who defended radical freedom. Famous slogan: 'existence precedes essence' and humans are 'condemned to be free'. Argued that human consciousness (being-for-itself) is fundamentally free 
scholarly_argument_list_epistemological_foundation_of__2,argument,List: Justin's Platonism was 'completely revolutionised' by a new epistemological foun,,Christian (patristic),0.34,0.3,"If Justin remained a Platonist ('and I think he did'), it was a Platonism 'completely revolutionised by this new epistemological foundation (Spirit-inspired biblical prophecy)', not one 'completed' or 'corrected' by Christianity (against Thorsteinsson).","For List, anthropology was 'foundational' to Justin's Platonism, so conceding that the rational soul cannot perceive God 'meant a complete overhaul of his epistemological system'. If Justin remained a Platonist ('and I t"
