concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.98,passage_arist_ne_7_3,Aristotle,Ἠθικὰ Νικομάχεια,7.3,grc,"πρῶτον μὲν οὖν σκεπτέον πότερον εἰδότες ἢ οὔ, καὶ πῶς εἰδότες· εἶτα περὶ ποῖα τὸν ἀκρατῆ καὶ τὸν ἐγκρατῆ θετέον, λέγω δὲ πότερον περὶ πᾶσαν ἡδονὴν καὶ λύπην ἢ περί τινας ἀφωρισμένας, καὶ τὸν ἐγκρατῆ καὶ τὸν καρτερικόν, πότερον ὁ αὐτὸς ἢ ἕτε"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.98,passage_arist_mm_2_6_26,Aristotle,Magna Moralia,2.6.26,grc,"ἡ μὲν οὖν τοιαύτη ὁρμὴ πρὸς ὀργήν, ἣ δοκεῖ ἀκρασία εἶναι ὀργῆς, οὐ λίαν ἐπιτιμητέα ἐστίν, ἡ δὲ πρὸς [τὴν] ἡδονὴν ὁρμὴ ψεκτή γε. ἔστιν γὰρ διαφορὰν ἔχουσα πρὸς ταύτην διὰ τὸν λόγον, ὃς ἀποτρέπει τοῦ μὴ πράττειν, ἀλλ' ὅμως πράττει παρὰ τὸν λό"
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.98,passage_arist_mm_2_6_26,Aristotle,Magna Moralia,2.6.26,grc,"ἡ μὲν οὖν τοιαύτη ὁρμὴ πρὸς ὀργήν, ἣ δοκεῖ ἀκρασία εἶναι ὀργῆς, οὐ λίαν ἐπιτιμητέα ἐστίν, ἡ δὲ πρὸς [τὴν] ἡδονὴν ὁρμὴ ψεκτή γε. ἔστιν γὰρ διαφορὰν ἔχουσα πρὸς ταύτην διὰ τὸν λόγον, ὃς ἀποτρέπει τοῦ μὴ πράττειν, ἀλλ' ὅμως πράττει παρὰ τὸν λό"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.98,passage_arist_mm_1_13_4,Aristotle,Magna Moralia,1.13.4,grc,"Ἀλλ' οὗτος ὁ λόγος ἀναιρεῖ ἀκρασίαν καὶ τὸν ἀκρατῆ. εἰ γὰρ μὴ ἑκών, οὐκ ἔστιν ψεκτός· ἀλλ' ἔστιν ὁ ἀκρατὴς ψεκτός· ἑκὼν ἄρα· ἡ ἄρα βούλησις ἑκούσιον. Ἐπεὶ οὖν λόγοι τινὲς ἐναντίοι φαίνονται, σαφέστερον λεκτέον ὑπὲρ τοῦ ἑκουσίου."
concept_synkatathesis_stoic_assent,"Synkatathesis (Stoic Assent, συγκατάθεσις)","discusses Synkatathesis (Stoic Assent, συγκατάθεσις)?",0.98,passage_alex_fat_14,Alexander of Aphrodisias,De Fato,De Fato 14,grc,"ἔνεστι δ’ ὁρᾶν, εἰ ταῦτα λέγοντες σώζουσιν τὰς κοινὰς περὶ τοῦ ἐφ’ ἡμῖν πάντων ἀνθρώπων προλήψεις. οἱ γὰρ ἀπαιτοῦντες αὐτούς, πῶς οἷόν τε πάντων ὄντων καθ’ εἱμαρμένην τὸ ἐφ’ ἡμῖν σώζεσθαι, οὐκ ὄνομα μόνον τοῦ ἐφ’ ἡμῖν τιθέντες τοῦτ’ ἀπαιτοῦ"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.98,passage_arist_ee_2_8,Aristotle,Ἠθικὰ Εὐδήμεια,2.8,grc,"ὅτι μὲν τοίνυν οὐκ ἔστι τὸ ἑκούσιον τὸ κατὰ ὄρεξιν πράττειν, οὐδʼ ἀκούσιον τὸ παρὰ τὴν ὄρεξιν, φανερόν· ὅτι δʼ οὐδὲ κατὰ προαίρεσιν, πάλιν ἐκ τῶνδε δῆλον. τὸ μὲν γὰρ κατὰ βούλησιν ὡς οὐκ ἀκούσιον ἀπεδείχθη,   ἀλλὰ μᾶλλον πᾶν ὃ βούλεται καὶ "
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.98,passage_alex_fat_36,Alexander of Aphrodisias,De Fato,De Fato 36,grc,"ἀλλὰ ταῦτά γε εἰ μὲν ὑπό τινων αἰτίων περιεστώτων αὐτοῖς οὕτως ἀναγκάζονται λέγειν, συγγινώσκειν αὐτοῖς ἄξιον, καὶ οὐδὲν δεῖ οὔθ’ ἡμᾶς περὶ τῶν ὑπ’ ἐκείνων κατ’ ἀνάγκην λεγομένων πολυπραγμονεῖν οὔτε ἐκείνους περὶ τῶν οὐχ ὁμοίως αὐτοῖς λεγόν"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.97,passage_arist_mm_2_6_16,Aristotle,Magna Moralia,2.6.16,grc,"γίνεται οὖν ἁμαρτία τῷ τὴν ἐπιστήμην ἔχοντι καὶ ἐνταῦθα, οἷον ἅπαντα μὲν τὸν πυρέττοντα ὑγιῆ ποιῆσαι [ ἐπίσταμαι] , εἰ μέντοι οὗτος πυρέττει, οὐκ οἶδα. ὡσαύτως τοίνυν ἐπὶ τοῦ ἀκρατοῦς τοῦ τὴν ἐπιστήμην ἔχοντος ἡ αὐτὴ ἁμαρτία συμβήσεται. ἐνδ"
concept_akrasia_weakness_of_will,"Akrasia (Weakness of Will, ἀκρασία)","discusses Akrasia (Weakness of Will, ἀκρασία)?",0.97,passage_arist_mm_2_6_23,Aristotle,Magna Moralia,2.6.23,grc,"Δῆλον δὲ καὶ ἐντεῦθεν, ὅτι περὶ ταῦτα ἡ ἀκρασία· ἐπεὶ γὰρ ψεκτὸς ὁ ἀκρατής, ψεκτὰ εἶναι δεῖ τὰ ὑποκείμενα· τιμὴ μὲν οὖν καὶ δόξα καὶ ἀρχὴ καὶ χρήματα καὶ περὶ ὅσα ἄλλα ἀκρατεῖς λέγονται, οὐκ εἰσὶν ψεκτά, αἱ δ' ἡδοναὶ αἱ σωματικαὶ ψεκταί· δι"
concept_horme_alex,Hormē (ὁρμή),discusses Hormē (ὁρμή)?,0.97,passage_arist_mm_2_8_8,Aristotle,Magna Moralia,2.8.8,grc,"Ἔστιν οὖν ἡ εὐτυχία ἄλογος φύσις· ὁ γὰρ εὐτυχής ἐστιν ὁ ἄνευ λόγου ἔχων ὁρμὴν πρὸς τἀγαθά, καὶ τούτων ἐπιτυγχάνων, τοῦτο δ' ἐστὶ φύσεως· ἐν γὰρ τῇ ψυχῇ ἔνεστιν τῇ φύσει τοιοῦτον ᾧ ὁρμῶμεν ἀλόγως πρὸς ἃ ἂν εὖ ἔχωμεν."
