pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
concept_hierarchical_compatibilism_frankfurt__concept_hierarchical_mesh_8v9w0x1y,concept,concept_hierarchical_compatibilism_frankfurt,Hierarchical Compatibilism,concept_hierarchical_mesh_8v9w0x1y,Hierarchical Mesh Theory,0.89,0.14,0.7-0.9,concept_hierarchical_mesh_8v9w0x1y,description_token_overlap;label_token_overlap,"Harry Frankfurt's theory that freedom consists in harmony between first-order desires and higher-order volitions, paralleling Stoic assent",Harry Frankfurt's theory that free will consists in alignment between first-order desires (desires to act) and second-order desires (desires about which desires to have). A person acts freely when the
argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188__argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,argument,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin),argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,Voluntary/Involuntary Distinction Argument,0.89,0.79,0.7-0.9,argument_voluntary_involuntary_distinction_aristotle_g7h8i9j0,description_token_overlap;label_token_overlap,"In Nicomachean Ethics III.1-5 (1109b30-1115a3), Aristotle provides the foundational ancient analysis of voluntary (ἑκούσιον, hekousion) and involuntary (ἀκούσιον, akousion) action, establishing the co",The Voluntary/Involuntary Distinction Argument in Nicomachean Ethics III.1 establishes the foundational criteria for moral responsibility in ancient ethics. Aristotle argues that actions deserve prais
concept_conditional_fate_9a5c8b4d__concept_heimarmene_conditional_amand1945,concept,concept_conditional_fate_9a5c8b4d,conditional fate,concept_heimarmene_conditional_amand1945,"εἱμαρμένη conditionnelle (ἐξ ὑποθέσεως) — platonisme moyen (Pseudo-Plutarque, Albinus)",0.89,0.41,0.7-0.9,concept_conditional_fate_9a5c8b4d,description_token_overlap,"Middle Platonist doctrine that fate operates conditionally rather than absolutely. Divine providence establishes general laws (like state laws, not deterministic natural laws) that allow for human fre",Doctrinal concept of Middle Platonism identified by Amand 1945 (p. 104-106) in Pseudo-Plutarch's treatise Περὶ εἱμαρμένης (De fato) and its parallel in the Didaskalikos ch. 26 (ascribed to Albinus by 
concept_grace_freedom_synergy__concept_synergism,concept,concept_grace_freedom_synergy,Grace-Freedom Synergy (συνεργία),concept_synergism,Synergism (Synergy),0.88,0.5,0.7-0.9,concept_synergism,description_token_overlap;label_token_overlap,Cooperation of divine grace + human free will in salvation. Neither Pelagian (grace unnecessary) nor Augustinian (grace irresistible). Formula: Divine aid necessary but not sufficient + Human cooperat,"**Termes** : συνέργεια (synergeia) ; lat. cooperatio ; « œuvre conjointe » — coopération du libre arbitre humain avec la grâce.

Eastern Christian doctrine that human free will cooperates (synergei) w"
scholarly_argument_amand_de_mendieta_astrology_and_fatalism_in_anti_1__scholarly_argument_amand_de_mendieta_methodological_approach_3,argument,scholarly_argument_amand_de_mendieta_astrology_and_fatalism_in_anti_1,Amand de Mendieta: Astrology in Greek and Christian antiquity was essentially and radically fatalis,scholarly_argument_amand_de_mendieta_methodological_approach_3,"Amand de Mendieta: The work is strictly philological and historical, primarily documentary, present",0.88,0.26,0.7-0.9,scholarly_argument_amand_de_mendieta_methodological_approach_3,description_token_overlap;label_token_overlap,"Amand: throughout Greek and Christian antiquity astrology was 'essentiellement et radicalement fataliste'; the theory of heimarmene and that of 'universal sympathy' formed its doctrinal basis, and abs","Amand never intended to write a history of the anti-fatalist polemic; the title 'Fatalisme et liberté' should not mislead readers seeking a synthetic, philosophically conceived exposition. His 'méthod"
argument_augustines_antipelagian_argument_grace_necessity_0b29401f__scholarly_argument_barclay_reception_history_of_pauline_a_3,argument,argument_augustines_antipelagian_argument_grace_necessity_0b29401f,Augustine's Anti-Pelagian Argument (Grace Necessity),scholarly_argument_barclay_reception_history_of_pauline_a_3,Barclay: Paul's statements on agency have spawned extremely violent debates throughout re,0.88,0.58,0.7-0.9,argument_augustines_antipelagian_argument_grace_necessity_0b29401f,description_token_overlap,"Developed during Pelagian controversy (411-430 CE) against Pelagius, Caelestius, and Julian of Eclanum. Augustine's theology shifts dramatically from early optimism about free choice (characterized re","Reception history of Pauline agency debates — Paul's statements on agency have spawned extremely violent debates throughout reception history, notably in Augustine-Pelagius disputes, Protestant-Cathol"
argument_molinism_and_middle_knowledge_3d718eca__argument_molinist_middle_knowledge_8t2o3p91,argument,argument_molinism_and_middle_knowledge_3d718eca,Molinism and Middle Knowledge,argument_molinist_middle_knowledge_8t2o3p91,Molinist Middle Knowledge Argument,0.87,0.67,0.7-0.9,argument_molinism_and_middle_knowledge_3d718eca,description_token_overlap;label_token_overlap,Luis de Molina's doctrine of middle knowledge (scientia media) attempts to reconcile divine foreknowledge and providence with libertarian human free will. God knows what every possible free creature w,"Molina's argument that God possesses middle knowledge of counterfactuals of creaturely freedom, enabling providence without predetermination. God knows what each possible free creature would freely ch"
scholarly_argument_list_free_will_and_platonic_anthrop_0__scholarly_argument_list_justin_martyr_s_relationship_t_0,argument,scholarly_argument_list_free_will_and_platonic_anthrop_0,List: Justin Martyr's rejection of two specific Platonic doctrines—the soul's ability ,scholarly_argument_list_justin_martyr_s_relationship_t_0,"List: Justin remained a Middle Platonist after his conversion to Christianity, but rej",0.87,0.44,0.7-0.9,scholarly_argument_list_free_will_and_platonic_anthrop_0,description_token_overlap;label_token_overlap,free will and Platonic anthropology in Justin Martyr — Justin Martyr's rejection of two specific Platonic doctrines—the soul's ability to see God and the doctrine of transmigration (metempsychosis)—wa,"Justin Martyr's relationship to Platonism — Justin remained a Middle Platonist after his conversion to Christianity, but rejected two specific anthropological doctrines: the soul's vision of God and t"
scholarly_argument_skarsaune_free_will_in_justin_martyr_s_t_0__scholarly_argument_skarsaune_free_will_terminology_in_justi_0,argument,scholarly_argument_skarsaune_free_will_in_justin_martyr_s_t_0,Skarsaune: Not directly addressed in this work; the study focuses on Justin's proof-text tr,scholarly_argument_skarsaune_free_will_terminology_in_justi_0,Skarsaune: Skarsaune does not discuss Justin's use of autexousios or philosophical vocabula,0.87,0.41,0.7-0.9,scholarly_argument_skarsaune_free_will_in_justin_martyr_s_t_0,description_token_overlap;label_token_overlap,"Skarsaune's study of Justin's proof-text tradition contains no thematic treatment of free will, determinism or moral responsibility. He registers the topic only in passing: 1 Apol 43f is an excursus '","Skarsaune offers no discussion of Justin's philosophical vocabulary for freedom: the term is never analysed, and Dial 88:5/124 is quoted only in English ('born in freedom of choice and with authority "
pub_koch_1932_pronoia__pub_koch_1979_pronoia_und_paideusis_studien_ueber_origenes_und_sein_verhaeltni,publication,pub_koch_1932_pronoia,Pronoia und Paideusis: Studien über Origenes und sein Verhältnis zum Platonismus,pub_koch_1979_pronoia_und_paideusis_studien_ueber_origenes_und_sein_verhaeltni,Hal Koch 1979 — Pronoia und Paideusis : Studien ueber Origenes und sein Verhaeltnis zum Platonismus,0.87,0.64,0.7-0.9,pub_koch_1932_pronoia,description_token_overlap;label_token_overlap,"Study of providence (pronoia) and education (paideusis) in Origen, analyzing his relationship to Platonism.",Pronoia und Paideusis : Studien ueber Origenes und sein Verhaeltnis zum Platonismus
