concept_id,concept_label,question,probability,passage_id,auteur,oeuvre,ref,langue,extrait
concept_plurality_goods_alex,"Plurality of Goods (Noble, Pleasant, Advanta","discusses Plurality of Goods (Noble, Pleasant, Advanta?",0.02,passage_alex_fat_5,Alexander of Aphrodisias,De Fato,De Fato 5,grc,"τούτων δ’ οὕτως ἐχόντων καὶ πάντων τῶν γινομένων εἰς τούτους τοὺς τρόπους νενεμημένων ἀκόλουθον ἐπὶ τούτοις ἰδεῖν, ἐν ποίῳ τῶν ποιητικῶν αἰτίων χρὴ τιθέναι τὴν εἱμαρμένην. ἆρά γε ἐν τοῖς οὐδενὸς γινομένοις χάριν; ἢ τοῦτο μὲν παντάπασιν ἄλογ"
concept_liberum_arbitrium_u3v4w5x6,Free Choice (Liberum Arbitrium),discusses Free Choice (Liberum Arbitrium)?,0.03,passage_aug_lib_arb_2_16_44,Augustine,De Libero Arbitrio,2.16.44,lat,"Si ergo quidquid mutabile aspexeris, vel sensu corporis, vel animi consideratione capere non potes, nisi aliqua numerorum forma teneatur, qua detracta in nihil recidat; noli dubitare, ut ista mutabilia non intercipiantur, sed dimensis motib"
concept_logos_krites_alex,Logos as Kritēs (Reason as Judge),discusses Logos as Kritēs (Reason as Judge)?,0.04,passage_alex_fat_25,Alexander of Aphrodisias,De Fato,De Fato 25,grc,πῶς γὰρ οὐ φανερῶς τὸ λέγειν ψεῦδος πᾶν τὸ ἑπόμενόν τινι ἐξ ἐκείνου τὴν αἰτίαν τοῦ εἶναι ἔχειν καὶ πᾶν τὸ προηγούμενόν τινος αἴτιον ὑπάρχειν ἐκείνῳ; ὁρῶμεν γὰρ ὅτι τὰ ἐφεξῆς ἀλλήλοις ὄντα τῷ χρόνῳ οὐ πάντα διὰ τὰ ἔμπροσθεν καὶ πρὸ αὐτῶν γεγ
concept_voluntas_y7z8a9b0,Will (Voluntas),discusses Will (Voluntas)?,0.04,passage_aug_lib_arb_2_16_44,Augustine,De Libero Arbitrio,2.16.44,lat,"Si ergo quidquid mutabile aspexeris, vel sensu corporis, vel animi consideratione capere non potes, nisi aliqua numerorum forma teneatur, qua detracta in nihil recidat; noli dubitare, ut ista mutabilia non intercipiantur, sed dimensis motib"
concept_voluntas_y7z8a9b0,Will (Voluntas),discusses Will (Voluntas)?,0.04,passage_aug_lib_arb_2_11_31,Augustine,De Libero Arbitrio,2.11.31,lat,"Sed quia dedit numeros omnibus rebus etiam infimis, et in fine rerum locatis; et corpora enim omnia quamvis in rebus extrema sint, habent numeros suos; sapere autem non dedit corporibus, neque animis omnibus, sed tantum rationalibus, tamqua"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.04,passage_alex_fat_27,Alexander of Aphrodisias,De Fato,De Fato 27,grc,"οἱ συγχωρήσαντες ἀναποβλήτους τὰς ἀρετάς τε καὶ τὰς κακίας εἶναι, ἴσως προχειρότερον λαμβανόμενον λέγοιμεν ἂν κατὰ τοῦτο τὰς ἕξεις ἐπὶ τοῖς ἔχουσιν εἶναι, καθόσον πρὸ τοῦ λαβεῖν αὐτὰς ἐπ’ αὐτοῖς ἦν καὶ μὴ λαβεῖν. οἵ τε γὰρ τὰς ἀρετὰς ἔχοντε"
concept_hegemonikon_stoic,Hegemonikon (ἡγεμονικόν),discusses Hegemonikon (ἡγεμονικόν)?,0.05,passage_alex_fat_13,Alexander of Aphrodisias,De Fato,De Fato 13,grc,"τοιούτου δ’ ὄντος αὐτοῦ, τὸ μὲν δεικνύναι τοῦτο σωζόμενον κατὰ τοὺς πάντα λέγοντας γίνεσθαι καθ’ εἱμαρμένην οὐδὲ ἐπιχειροῦσιν τὴν ἀρχήν (ἴσασιν γὰρ ἐγχειρήσαντες ἀδυνάτοις), ὡς δὲ ἐπὶ τῆς τύχης ἄλλο τι σημαινόμενον ὑποθέντες τῷ τῆς τύχης ὀν"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.05,passage_alex_fat_32,Alexander of Aphrodisias,De Fato,De Fato 32,grc,"ἀλλὰ τῶν μὲν τοιούτων ἅλις (ἱκανὸν γὰρ ἐφ’ ἑκάστου τὸ ἐνδείξασθαι τὴν τῆς δόξης ἀτοπίαν), ἱκανῶς δ’ οἶμαι δεδηλῶσθαι, πῶς λέγεται τὸ ἐπὶ τῷ φρονίμῳ εἶναι τὸ φρονεῖν καίτοι μὴ δυναμένῳ μὴ φρονεῖν· οὐ γὰρ ὅτι νῦν, ὅτε ἐστὶ φρόνιμος, ἐπ’ αὐτῷ "
concept_eph_hemin_in_our_power_aristotle_d4e5f6g7,To Eph' Hêmin (Τὸ ἐφ' ἡμῖν),discusses To Eph' Hêmin (Τὸ ἐφ' ἡμῖν)?,0.05,passage_alex_fat_3,Alexander of Aphrodisias,De Fato,De Fato 3,grc,"ὅτι μὲν οὖν 8 αἰτίαν τινὰ τὴν εἱμαρμένην τοῖς γινομένοις εἶναι λέγουσιν πάντες οἱ περὶ εἱμαρμένης λέγοντές τι, γνώριμον (ταύτην γὰρ ἀποδιδόασίν τε καί φασιν αἰτίαν εἶναι τοῦ γίνεσθαι τὰ γινόμενα ὃν τρόπον γίνεται), ἐπεὶ δὲ πλεοναχῶς λέγεται"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.05,passage_alex_fat_26,Alexander of Aphrodisias,De Fato,De Fato 26,grc,"Ἃ δὲ ἀποροῦσιν πρὸς τὸ εἶναι τοιοῦτον τὸ ἐφ’ ἡμῖν, ὁποῖον ἡ κοινὴ πρόληψις τῶν ἀνθρώπων πεπίστευκεν, ἀπορεῖν μὲν οὐκ ἄλογον, τὸ δὲ τοῖς ἀπορουμένοις ἐποχουμένους ὡς ὁμολογουμένοις ἀναιρεῖν μέν, ἃ οὕτως ἐναργῆ, σκιαγραφίαν δέ τινα καὶ παιδιὰ"
concept_heimarmene_fate_stoics_j0k1l2m3,Heimarmenê (Εἱμαρμένη),discusses Heimarmenê (Εἱμαρμένη)?,0.05,passage_alex_fat_33,Alexander of Aphrodisias,De Fato,De Fato 33,grc,"Τὸ δὲ λέγειν ἡγεῖσθαι τοὺς οὐχ ἡγουμένους ἐν τῷ σώζεσθαι τὴν καθ’ ὁρμὴν τῶν ζῴων ἐνέργειαν ἤδη σώζεσθαι καὶ τὸ ἐφ’ ἡμῖν τῷ πᾶν τὸ καθ’ ὁρμὴν γινόμενον ἐπὶ τοῖς ὁρμῶσιν εἶναι καὶ διὰ τοῦτο ἐρωτᾶν, εἰ μὴ ἐνέργημά τι τὸ ἐφ’ ἡμῖν ἐστι, καὶ λαβό"
