node_id,label,type,period,p_curator_notes,description_excerpt
scholarly_argument_engberg_pedersen_fate_and_moral_responsibility__2,"Engberg-Pedersen: The Stoic system, with its combination of determinism at the cosmic level and in",argument,Contemporary,0.97,"Not verifiable in the fonds: the extraction holds only the first page of each chapter (pp. ix, 1, 33, 45, 81, 105, 131…). p. 82 and any discussion of Phil 2:12-13, of 'determinism at the cosmic level' or of divine initia"
scholarly_argument_engberg_pedersen_progression_and_moral_developm_3,Engberg-Pedersen: Both Paul and the Stoics employ a model of ethical progression (prokopē) where i,argument,Contemporary,0.97,"Not verifiable in the fonds: the extraction contains only the first page of ch. 4 (p. 81) and nothing of p. 82; no mention of prokopē, of the sophos/prokoptontes distinction or of Phil 3:12-14. The nearest extracted text"
concept_logos_krites_alex,Logos as Kritēs (Reason as Judge),concept,Roman Imperial,0.97,"ΛΌΓΟΣ ΩΣ ΚΡΙΤΉΣ (logos HŌS KRITĒS) - reason AS JUDGE Alexander's account of how human reason evaluates impressions before assent, distinguishing us from animals. External impressions (phantasiai) strike us. Reason (logos"
argument_frede_2011_alexander_libertarian_dead_end,Alexandre d'Aphrodise = ancêtre direct du libre arbitre moderne vicié (Frede 2011),argument,Modern,0.96,"Argument Frede 2011 ch. 6 (p. 95-101) + Conclusion (p. 177-178). Premises: (P1) Alexander requires that an action be free only if the agent could, in identical internal-and-external circumstances, have chosen otherwise ("
scholarly_argument_wolfson_comparison_with_plato_s_timaeu_3,Wolfson: Philo's position resembles Plato's Timaeus in structure (universal soul governin,argument,Contemporary,0.96,"[pending-acquisition: Wolfson, 'Philo on Free Will and the Historical Influence of His View', HTR 35 (1942) 131-169 — fonds holds only an empty 1-page image stub]"
argument_clement_grace_synergy_assent,Clement of Alexandria: Grace–Freedom Synergy via Stoic Assent (Strom. II.6–15),argument,Roman Imperial,0.95,"Clement of Alexandria's argument in Stromateis II.6–15 (and re-affirmed in Strom. IV.23–24) that Christian salvation involves the cooperation (συνέργεια) of divine grace and human αὐτεξούσιον, mediated by the Stoic theor"
scholarly_argument_bobichon_free_will_and_determinism_in_j_0,"Bobichon: This is a critical edition with translation notes, not a monographic argument ab",argument,Contemporary,0.95,"[pending-acquisition: Bobichon, Justin Martyr, Dialogue avec Tryphon, Paradosis 47/2 (notes, appendices, indices, pp. 567-918)] — tome 2 is not in the fonds; the commentary on Dial. 1,1 (pp. 569-571) cannot be verified."
scholarly_argument_dunn_free_will_and_determinism_in_p_0,Dunn: Dunn does not systematically address free will vs. determinism as a philosophica,argument,Contemporary,0.95,"No corresponding argument in Dunn. If retained, reword as a curator note: the phrase 'free will' does not occur in Dunn's Theology of Paul the Apostle; his discussion of human agency runs through faith as 'utter dependen"
concept_metriopatheia_moderation_passions,Metriopatheia (Moderation of Passions),concept,Hellenistic,0.95,"Metriopatheia is the Platonic-Peripatetic alternative to Chrysippean apatheia; as a named telos the term belongs to the Peripatetic and Middle-Platonic tradition (Philo, Plutarch) and is never applied to Posidonius in th"
scholar_wolfson_h,Harry Austryn Wolfson,person,Modern,0.95,"history of philosophy, Philo Judaeus, medieval and ancient philosophy ') and clutters the scholarly content; it should ]"
pub_mitsis_2021_improper_questions,Mitsis 2021 — Did Ancient Greek Philosophers Have A Concept of Free Will? (and Other Improper Questions),publication,Modern,0.95,"Chapter 16 in Phillip Mitsis & Heather L. Reid (eds.), *The Poetry in Philosophy. Essays in Honor of Christos C. Evangeliou*, Sioux City: Parnassos Press / Fonte Aretusa, 2021, p. 243-282. DOI 10.2307/j.ctv1ks0b70.16. Me"
scholarly_argument_o_keefe_epicurus_as_first_libertarian__2,O'Keefe: Epicurus has been mistakenly hailed as the first person to discover the free wil,argument,Contemporary,0.94,Faithful as written; only the page of the quote_verbatim is wrong.
concept_autokrateia_alex,Self-Governance / αὐτεξούσιον (Alexander),concept,Roman Imperial,0.94,"αὐτεξούσιον (to autexousion) — Self-governance, self-rule; not being ruled by another but by oneself.  The free is the self-governing, and choice is self-governing: what is self-governing is ruled not by another but by i"
